customer_id,first_order_date,acquisition_channel
CUST00186,2025-08-13,Google Ads
CUST00187,2025-11-03,Meta Ads
CUST00188,2025-08-22,Google Ads
CUST00189,2025-06-21,Google Ads
CUST00190,2025-06-01,Google Ads
CUST00191,2025-11-11,Meta Ads
CUST00192,2025-06-09,TikTok Ads
CUST00193,2025-04-06,TikTok Ads
CUST00194,2025-08-21,Google Ads
CUST00195,2025-06-29,Meta Ads
CUST00196,2025-04-23,Google Ads
CUST00197,2025-11-14,Google Ads
CUST00198,2025-02-21,TikTok Ads
CUST00199,2025-09-25,Google Ads
CUST00200,2025-10-22,Google Ads
CUST00201,2025-04-23,Google Ads
CUST00202,2025-04-11,Google Ads
CUST00203,2025-04-23,Google Ads
CUST00204,2025-03-22,Meta Ads
CUST00205,2025-07-06,Meta Ads
CUST00206,2025-04-23,TikTok Ads
CUST00207,2025-01-02,TikTok Ads
CUST00208,2025-05-10,Google Ads
CUST00209,2025-08-08,Google Ads
CUST00210,2025-02-23,Google Ads
CUST00211,2025-12-09,Meta Ads
CUST00212,2025-08-12,Google Ads
CUST00213,2025-08-13,Meta Ads
CUST00214,2025-05-06,Meta Ads
CUST00215,2025-05-10,Meta Ads
CUST00216,2025-02-22,Meta Ads
CUST00217,2025-06-21,Google Ads
CUST00218,2025-08-06,Email
CUST00219,2025-06-09,TikTok Ads
CUST00220,2025-07-17,Google Ads
CUST00221,2025-09-04,TikTok Ads
CUST00222,2025-11-20,Meta Ads
CUST00223,2025-07-22,TikTok Ads
CUST00224,2025-07-03,TikTok Ads
CUST00225,2025-05-03,Meta Ads
CUST00226,2025-09-12,Google Ads
CUST00227,2025-10-21,Google Ads
CUST00228,2025-10-07,Meta Ads
CUST00229,2025-11-21,Meta Ads
CUST00230,2025-04-08,Google Ads
CUST00231,2025-07-17,Google Ads
CUST00232,2025-08-28,TikTok Ads
CUST00233,2025-05-24,Email
CUST00234,2025-04-07,Meta Ads
CUST00235,2025-07-20,Google Ads
CUST00236,2025-05-04,Google Ads
CUST00237,2025-07-06,Google Ads
CUST00238,2025-11-22,Email
CUST00239,2025-12-15,Google Ads
CUST00240,2025-09-16,Meta Ads
CUST00241,2025-05-28,Google Ads
CUST00242,2025-09-09,Meta Ads
CUST00243,2025-12-12,Meta Ads
CUST00244,2025-05-27,TikTok Ads
CUST00245,2025-05-28,Google Ads
CUST00246,2025-12-18,Google Ads
CUST00247,2025-07-18,Google Ads
CUST00248,2025-11-04,Email
CUST00249,2025-05-08,TikTok Ads
CUST00250,2025-02-08,Meta Ads
CUST00251,2025-12-04,Meta Ads
CUST00252,2025-12-26,Meta Ads
CUST00253,2025-05-09,Google Ads
CUST00254,2025-09-24,Email
CUST00255,2025-05-31,Meta Ads
CUST00256,2025-10-25,Google Ads
CUST00257,2025-04-09,Meta Ads
CUST00258,2025-09-20,Google Ads
CUST00259,2025-09-09,Google Ads
CUST00260,2025-05-24,Meta Ads
CUST00261,2025-12-12,Google Ads
CUST00262,2025-04-22,Meta Ads
CUST00263,2025-03-01,Google Ads
CUST00264,2025-01-02,Google Ads
CUST00265,2025-10-31,Google Ads
CUST00266,2025-09-11,Google Ads
CUST00267,2025-05-20,Meta Ads
CUST00268,2025-02-06,Google Ads
CUST00269,2025-06-09,Meta Ads
CUST00270,2025-01-09,Meta Ads
CUST00271,2025-08-21,Meta Ads
CUST00272,2025-04-09,Email
CUST00273,2025-05-27,Meta Ads
CUST00274,2025-10-31,Google Ads
CUST00275,2025-07-27,Google Ads
CUST00276,2025-05-11,Google Ads
CUST00277,2025-06-01,Meta Ads
CUST00278,2025-02-23,Google Ads
CUST00279,2025-04-30,Meta Ads
CUST00280,2025-06-10,Meta Ads
CUST00281,2025-04-26,Google Ads
CUST00282,2025-03-16,TikTok Ads
CUST00283,2025-04-23,Google Ads
CUST00284,2025-04-14,Google Ads
CUST00285,2025-12-06,Meta Ads
CUST00286,2025-09-11,Meta Ads
CUST00287,2025-08-15,Meta Ads
CUST00288,2025-04-22,Meta Ads
CUST00289,2025-04-09,Google Ads
CUST00290,2025-06-02,TikTok Ads
CUST00291,2025-12-15,TikTok Ads
CUST00292,2025-12-04,Meta Ads
CUST00293,2025-07-13,Google Ads
CUST00294,2025-11-06,Meta Ads
CUST00295,2025-06-12,Google Ads
CUST00296,2025-07-27,Google Ads
CUST00297,2025-06-18,Email
CUST00298,2025-06-10,Google Ads
CUST00299,2025-03-09,Email
CUST00300,2025-10-16,Meta Ads
CUST00301,2025-10-04,Google Ads
CUST00302,2025-10-31,Meta Ads
CUST00303,2025-05-15,TikTok Ads
CUST00304,2025-07-14,Meta Ads
CUST00305,2025-05-08,TikTok Ads
CUST00306,2025-02-02,Meta Ads
CUST00307,2025-06-25,Meta Ads
CUST00308,2025-01-22,TikTok Ads
CUST00309,2025-08-26,Google Ads
CUST00310,2025-06-07,Meta Ads
CUST00311,2025-02-07,Google Ads
CUST00312,2025-08-18,Email
CUST00313,2025-12-31,Email
CUST00314,2025-02-20,Google Ads
CUST00315,2025-09-21,Meta Ads
CUST00316,2025-10-10,Email
CUST00317,2025-01-27,Google Ads
CUST00318,2025-08-14,Meta Ads
CUST00319,2025-10-04,Email
CUST00320,2025-10-13,Google Ads
CUST00321,2025-04-07,Meta Ads
CUST00322,2025-10-11,Google Ads
CUST00323,2025-11-13,Email
CUST00324,2025-10-31,Email
CUST00325,2025-05-27,Email
CUST00326,2025-01-04,Meta Ads
CUST00327,2025-02-04,TikTok Ads
CUST00328,2025-07-11,TikTok Ads
CUST00329,2025-02-18,Google Ads
CUST00330,2025-01-17,TikTok Ads
CUST00331,2025-06-21,Google Ads
CUST00332,2025-08-08,Meta Ads
CUST00333,2025-06-07,Google Ads
CUST00334,2025-02-15,Google Ads
CUST00335,2025-01-06,Google Ads
CUST00336,2025-04-09,Meta Ads
CUST00337,2025-08-21,Google Ads
CUST00338,2025-02-06,Meta Ads
CUST00339,2025-10-07,Google Ads
CUST00340,2025-12-15,Google Ads
CUST00341,2025-10-29,Meta Ads
CUST00342,2025-06-30,TikTok Ads
CUST00343,2025-04-05,Google Ads
CUST00344,2025-04-09,Meta Ads
CUST00345,2025-07-07,TikTok Ads
CUST00346,2025-04-26,Meta Ads
CUST00347,2025-07-10,Google Ads
CUST00348,2025-09-10,Google Ads
CUST00349,2025-06-10,TikTok Ads
CUST00350,2025-09-13,Google Ads
CUST00351,2025-11-19,TikTok Ads
CUST00352,2025-05-08,Meta Ads
CUST00353,2025-01-18,Email
CUST00354,2025-10-08,TikTok Ads
CUST00355,2025-08-11,Email
CUST00356,2025-02-23,Google Ads
CUST00357,2025-02-27,TikTok Ads
CUST00358,2025-11-19,Meta Ads
CUST00359,2025-12-26,Meta Ads
CUST00360,2025-06-23,Meta Ads
CUST00361,2025-10-07,TikTok Ads
CUST00362,2025-04-24,Email
CUST00363,2025-10-15,TikTok Ads
CUST00364,2025-12-08,Meta Ads
CUST00365,2025-05-31,Meta Ads
CUST00366,2025-05-07,Meta Ads
CUST00367,2025-06-04,Google Ads
CUST00368,2025-09-30,Google Ads
CUST00369,2025-04-14,Google Ads
CUST00370,2025-10-26,Google Ads
CUST00371,2025-09-03,Google Ads
CUST00372,2025-06-25,Google Ads
CUST00373,2025-02-08,Google Ads
CUST00374,2025-06-19,Google Ads
CUST00375,2025-09-04,Email
CUST00376,2025-01-26,Meta Ads
CUST00377,2025-12-21,Google Ads
CUST00378,2025-11-02,Meta Ads
CUST00379,2025-01-13,Google Ads
CUST00380,2025-11-12,Email
CUST00381,2025-11-09,TikTok Ads
CUST00382,2025-02-05,Google Ads
CUST00383,2025-06-22,Meta Ads
CUST00384,2025-01-20,TikTok Ads
CUST00385,2025-11-17,Email
CUST00386,2025-09-21,Meta Ads
CUST00387,2025-05-22,Meta Ads
CUST00388,2025-05-23,Google Ads
CUST00389,2025-04-02,Email
CUST00390,2025-12-20,Google Ads
CUST00391,2025-11-18,Email
CUST00392,2025-10-15,Meta Ads
CUST00393,2025-08-03,Meta Ads
CUST00394,2025-12-08,Meta Ads
CUST00395,2025-02-20,Google Ads
CUST00396,2025-06-02,Google Ads
CUST00397,2025-07-05,Google Ads
CUST00398,2025-03-04,Google Ads
CUST00399,2025-07-09,TikTok Ads
CUST00400,2025-05-05,Google Ads
CUST00401,2025-05-30,Google Ads
CUST00402,2025-11-10,Email
CUST00403,2025-02-27,TikTok Ads
CUST00404,2025-12-08,Email
CUST00405,2025-11-01,Email
CUST00406,2025-06-29,Google Ads
CUST00407,2025-06-19,Google Ads
CUST00408,2025-11-22,TikTok Ads
CUST00409,2025-09-28,Meta Ads
CUST00410,2025-02-23,Google Ads
CUST00411,2025-04-11,TikTok Ads
CUST00412,2025-09-21,Google Ads
CUST00413,2025-02-22,Google Ads
CUST00414,2025-03-01,Meta Ads
CUST00415,2025-04-18,Meta Ads
CUST00416,2025-01-05,Meta Ads
CUST00417,2025-04-13,Google Ads
CUST00418,2025-07-15,TikTok Ads
CUST00419,2025-09-19,Google Ads
CUST00420,2025-12-31,Google Ads
CUST00421,2025-12-16,TikTok Ads
CUST00422,2025-02-16,Email
CUST00423,2025-12-21,TikTok Ads
CUST00424,2025-11-07,TikTok Ads
CUST00425,2025-11-04,Meta Ads
CUST00426,2025-05-24,Meta Ads
CUST00427,2025-09-26,Google Ads
CUST00428,2025-05-04,Meta Ads
CUST00429,2025-04-16,Google Ads
CUST00430,2025-06-07,Google Ads
CUST00431,2025-05-27,Meta Ads
CUST00432,2025-05-25,Meta Ads
CUST00433,2025-04-30,Google Ads
CUST00434,2025-11-15,Google Ads
CUST00435,2025-10-02,Meta Ads
CUST00436,2025-04-02,Google Ads
CUST00437,2025-02-27,TikTok Ads
CUST00438,2025-12-12,Meta Ads
CUST00439,2025-08-17,Meta Ads
CUST00440,2025-04-27,Meta Ads
CUST00441,2025-11-14,TikTok Ads
CUST00442,2025-10-06,Google Ads
CUST00443,2025-05-07,Meta Ads
CUST00444,2025-05-09,Meta Ads
CUST00445,2025-02-27,Google Ads
CUST00446,2025-05-02,TikTok Ads
CUST00447,2025-01-01,TikTok Ads
CUST00448,2025-08-27,Meta Ads
CUST00449,2025-10-17,TikTok Ads
CUST00450,2025-04-06,TikTok Ads
CUST00451,2025-05-06,Meta Ads
CUST00452,2025-04-28,TikTok Ads
CUST00453,2025-02-17,Meta Ads
CUST00454,2025-03-30,Meta Ads
CUST00455,2025-08-25,Meta Ads
CUST00456,2025-09-29,TikTok Ads
CUST00457,2025-07-08,Google Ads
CUST00458,2025-07-11,TikTok Ads
CUST00459,2025-03-10,TikTok Ads
CUST00460,2025-10-05,Google Ads
CUST00461,2025-12-15,TikTok Ads
CUST00462,2025-09-04,Google Ads
CUST00463,2025-03-17,Google Ads
CUST00464,2025-06-03,Meta Ads
CUST00465,2025-05-24,Google Ads
CUST00466,2025-03-27,TikTok Ads
CUST00467,2025-07-04,TikTok Ads
CUST00468,2025-10-12,Meta Ads
CUST00469,2025-08-08,Google Ads
CUST00470,2025-03-10,Google Ads
CUST00471,2025-02-16,Meta Ads
CUST00472,2025-04-04,Email
CUST00473,2025-08-26,Meta Ads
CUST00474,2025-07-23,Google Ads
CUST00475,2025-08-06,Meta Ads
CUST00476,2025-12-07,Meta Ads
CUST00477,2025-02-08,TikTok Ads
CUST00478,2025-04-10,Google Ads
CUST00479,2025-10-16,TikTok Ads
CUST00480,2025-09-11,Meta Ads
CUST00481,2025-08-10,Email
CUST00482,2025-12-23,Google Ads
CUST00483,2025-01-23,Meta Ads
CUST00484,2025-09-07,Email
CUST00485,2025-01-10,Google Ads
CUST00486,2025-09-03,Email
CUST00487,2025-11-21,Meta Ads
CUST00488,2025-04-10,Google Ads
CUST00489,2025-10-17,Google Ads
CUST00490,2025-06-29,Meta Ads
CUST00491,2025-08-11,Google Ads
CUST00492,2025-09-07,Meta Ads
CUST00493,2025-05-27,Google Ads
CUST00494,2025-04-06,Meta Ads
CUST00495,2025-09-14,Google Ads
CUST00496,2025-11-21,TikTok Ads
CUST00497,2025-01-04,Email
CUST00498,2025-01-16,Email
CUST00499,2025-10-07,Meta Ads
CUST00500,2025-12-02,Google Ads
CUST00501,2025-09-04,TikTok Ads
CUST00502,2025-09-15,Google Ads
CUST00503,2025-06-09,Google Ads
CUST00504,2025-12-06,Google Ads
CUST00505,2025-06-01,Meta Ads
CUST00506,2025-06-27,TikTok Ads
CUST00507,2025-06-12,Meta Ads
CUST00508,2025-02-02,Meta Ads
CUST00509,2025-06-28,Google Ads
CUST00510,2025-04-11,Email
CUST00511,2025-09-25,Meta Ads
CUST00512,2025-11-19,Meta Ads
CUST00513,2025-03-06,Google Ads
CUST00514,2025-06-17,TikTok Ads
CUST00515,2025-11-26,Meta Ads
CUST00516,2025-02-12,Google Ads
CUST00517,2025-02-13,Google Ads
CUST00518,2025-10-12,Meta Ads
CUST00519,2025-01-12,Meta Ads
CUST00520,2025-04-05,Google Ads
CUST00521,2025-10-29,Email
CUST00522,2025-09-10,Google Ads
CUST00523,2025-08-30,Meta Ads
CUST00524,2025-02-04,Email
CUST00525,2025-08-03,Meta Ads
CUST00526,2025-12-03,Meta Ads
CUST00527,2025-03-31,Google Ads
CUST00528,2025-09-21,Google Ads
CUST00529,2025-04-03,Email
CUST00530,2025-03-31,Meta Ads
CUST00531,2025-04-25,TikTok Ads
CUST00532,2025-04-15,Google Ads
CUST00533,2025-07-15,Google Ads
CUST00534,2025-11-10,Google Ads
CUST00535,2025-04-24,Meta Ads
CUST00536,2025-03-16,Google Ads
CUST00537,2025-08-05,TikTok Ads
CUST00538,2025-10-04,Meta Ads
CUST00539,2025-09-06,Email
CUST00540,2025-06-13,Google Ads
CUST00541,2025-12-23,TikTok Ads
CUST00542,2025-07-11,TikTok Ads
CUST00543,2025-08-15,TikTok Ads
CUST00544,2025-06-26,TikTok Ads
CUST00545,2025-04-09,TikTok Ads
CUST00546,2025-02-05,Meta Ads
CUST00547,2025-04-06,Google Ads
CUST00548,2025-06-01,Google Ads
CUST00549,2025-05-31,Email
CUST00550,2025-07-09,Meta Ads
CUST00551,2025-08-12,TikTok Ads
CUST00552,2025-02-06,Meta Ads
CUST00553,2025-09-25,Google Ads
CUST00554,2025-07-02,Google Ads
CUST00555,2025-01-13,Meta Ads
CUST00556,2025-10-06,Meta Ads
CUST00557,2025-08-05,Google Ads
CUST00558,2025-12-21,Meta Ads
CUST00559,2025-12-27,Google Ads
CUST00560,2025-10-13,Meta Ads
CUST00561,2025-09-30,Google Ads
CUST00562,2025-03-03,TikTok Ads
CUST00563,2025-03-25,Google Ads
CUST00564,2025-08-05,Meta Ads
CUST00565,2025-12-08,Google Ads
CUST00566,2025-07-06,Google Ads
CUST00567,2025-01-19,Google Ads
CUST00568,2025-06-26,Meta Ads
CUST00569,2025-04-10,Meta Ads
CUST00570,2025-08-21,Google Ads
CUST00571,2025-03-17,Meta Ads
CUST00572,2025-09-22,TikTok Ads
CUST00573,2025-10-11,TikTok Ads
CUST00574,2025-07-25,Google Ads
CUST00575,2025-08-11,Meta Ads
CUST00576,2025-02-21,Google Ads
CUST00577,2025-12-05,Google Ads
CUST00578,2025-05-24,Email
CUST00579,2025-03-10,Google Ads
CUST00580,2025-04-09,Meta Ads
CUST00581,2025-01-25,Meta Ads
CUST00582,2025-02-22,Meta Ads
CUST00583,2025-05-31,Meta Ads
CUST00584,2025-05-24,Google Ads
CUST00585,2025-02-26,Google Ads
CUST00586,2025-02-08,Meta Ads
CUST00587,2025-04-19,Google Ads
CUST00588,2025-06-30,Google Ads
CUST00589,2025-02-11,Google Ads
CUST00590,2025-07-05,Google Ads
CUST00591,2025-08-11,Google Ads
CUST00592,2025-05-02,Google Ads
CUST00593,2025-05-13,Meta Ads
CUST00594,2025-06-12,Meta Ads
CUST00595,2025-08-03,TikTok Ads
CUST00596,2025-08-09,Google Ads
CUST00597,2025-08-23,Google Ads
CUST00598,2025-11-27,Google Ads
CUST00599,2025-05-26,Meta Ads
CUST00600,2025-08-27,Meta Ads
CUST00601,2025-03-17,Google Ads
CUST00602,2025-01-09,Email
CUST00603,2025-03-15,Google Ads
CUST00604,2025-09-10,Meta Ads
CUST00605,2025-08-18,Meta Ads
CUST00606,2025-01-07,TikTok Ads
CUST00607,2025-06-23,Meta Ads
CUST00608,2025-05-21,TikTok Ads
CUST00609,2025-06-17,Google Ads
CUST00610,2025-06-19,TikTok Ads
CUST00611,2025-10-10,Google Ads
CUST00612,2025-05-02,TikTok Ads
CUST00613,2025-07-13,Meta Ads
CUST00614,2025-01-05,TikTok Ads
CUST00615,2025-01-29,Meta Ads
CUST00616,2025-06-14,Meta Ads
CUST00617,2025-12-05,Meta Ads
CUST00618,2025-05-16,Meta Ads
CUST00619,2025-12-31,Google Ads
CUST00620,2025-11-17,Google Ads
CUST00621,2025-12-08,Google Ads
CUST00622,2025-05-25,Google Ads
CUST00623,2025-11-23,TikTok Ads
CUST00624,2025-08-05,Google Ads
CUST00625,2025-10-28,Email
CUST00626,2025-05-12,Google Ads
CUST00627,2025-10-19,Google Ads
CUST00628,2025-03-11,TikTok Ads
CUST00629,2025-09-09,Meta Ads
CUST00630,2025-10-02,Meta Ads
CUST00631,2025-12-30,Meta Ads
CUST00632,2025-07-01,Meta Ads
CUST00633,2025-06-16,Google Ads
CUST00634,2025-04-01,Email
CUST00635,2025-07-21,Email
CUST00636,2025-12-12,Meta Ads
CUST00637,2025-01-19,Google Ads
CUST00638,2025-02-08,Meta Ads
CUST00639,2025-05-06,Google Ads
CUST00640,2025-06-22,Google Ads
CUST00641,2025-05-21,Google Ads
CUST00642,2025-08-30,Meta Ads
CUST00643,2025-08-08,TikTok Ads
CUST00644,2025-05-06,Meta Ads
CUST00645,2025-02-27,Meta Ads
CUST00646,2025-05-28,Meta Ads
CUST00647,2025-11-13,Google Ads
CUST00648,2025-12-27,Google Ads
CUST00649,2025-01-01,Email
CUST00650,2025-12-14,Google Ads
CUST00651,2025-07-09,TikTok Ads
CUST00652,2025-07-10,Meta Ads
CUST00653,2025-11-08,Meta Ads
CUST00654,2025-04-27,Meta Ads
CUST00655,2025-05-14,Meta Ads
CUST00656,2025-02-27,TikTok Ads
CUST00657,2025-02-13,Email
CUST00658,2025-06-22,Meta Ads
CUST00659,2025-06-09,Google Ads
CUST00660,2025-06-22,Meta Ads
CUST00661,2025-11-13,Email
CUST00662,2025-10-30,Google Ads
CUST00663,2025-05-29,Meta Ads
CUST00664,2025-03-21,Meta Ads
CUST00665,2025-08-01,Meta Ads
CUST00666,2025-07-22,Google Ads
CUST00667,2025-09-09,Meta Ads
CUST00668,2025-08-17,Email
CUST00669,2025-06-13,Google Ads
CUST00670,2025-08-15,Google Ads
CUST00671,2025-05-27,Email
CUST00672,2025-01-20,Google Ads
CUST00673,2025-02-16,TikTok Ads
CUST00674,2025-08-21,Meta Ads
CUST00675,2025-11-01,Google Ads
CUST00676,2025-01-14,TikTok Ads
CUST00677,2025-05-23,Meta Ads
CUST00678,2025-01-01,Meta Ads
CUST00679,2025-02-23,Google Ads
CUST00680,2025-09-16,Meta Ads
CUST00681,2025-05-24,Google Ads
CUST00682,2025-01-12,Google Ads
CUST00683,2025-11-26,Email
CUST00684,2025-08-12,Google Ads
CUST00685,2025-09-29,Meta Ads
CUST00686,2025-12-24,Google Ads
CUST00687,2025-06-05,TikTok Ads
CUST00688,2025-01-08,Google Ads
CUST00689,2025-05-02,Email
CUST00690,2025-12-14,Meta Ads
CUST00691,2025-06-13,Google Ads
CUST00692,2025-03-31,Google Ads
CUST00693,2025-05-16,Google Ads
CUST00694,2025-07-05,Meta Ads
CUST00695,2025-11-12,Google Ads
CUST00696,2025-06-27,TikTok Ads
CUST00697,2025-01-28,Meta Ads
CUST00698,2025-08-08,Google Ads
CUST00699,2025-12-23,Meta Ads
CUST00700,2025-02-10,Meta Ads
CUST00701,2025-08-16,Google Ads
CUST00702,2025-07-11,Google Ads
CUST00703,2025-05-25,Google Ads
CUST00704,2025-07-20,Meta Ads
CUST00705,2025-07-31,Meta Ads
CUST00706,2025-08-08,Meta Ads
CUST00707,2025-08-28,TikTok Ads
CUST00708,2025-02-15,TikTok Ads
CUST00709,2025-02-04,Meta Ads
CUST00710,2025-09-10,TikTok Ads
CUST00711,2025-03-23,Google Ads
CUST00712,2025-09-13,Google Ads
CUST00713,2025-07-16,Google Ads
CUST00714,2025-10-30,Google Ads
CUST00715,2025-01-10,Meta Ads
CUST00716,2025-11-08,Email
CUST00717,2025-10-13,Google Ads
CUST00718,2025-08-30,Google Ads
CUST00719,2025-09-08,Meta Ads
CUST00720,2025-12-31,Email
CUST00721,2025-01-05,Google Ads
