spend_date,channel,spend
2025-04-07,TikTok Ads,106.73
2025-04-07,Email,30.96
2025-04-08,Google Ads,209.8
2025-04-08,Meta Ads,168.7
2025-04-08,TikTok Ads,88.58
2025-04-08,Email,40.65
2025-04-09,Google Ads,254.46
2025-04-09,Meta Ads,152.45
2025-04-09,TikTok Ads,93.0
2025-04-09,Email,37.07
2025-04-10,Google Ads,243.29
2025-04-10,Meta Ads,209.13
2025-04-10,TikTok Ads,100.16
2025-04-10,Email,39.59
2025-04-11,Google Ads,216.36
2025-04-11,Meta Ads,166.68
2025-04-11,TikTok Ads,83.85
2025-04-11,Email,36.69
2025-04-12,Google Ads,274.79
2025-04-12,Meta Ads,194.27
2025-04-12,TikTok Ads,93.05
2025-04-12,Email,29.41
2025-04-13,Google Ads,277.24
2025-04-13,Meta Ads,200.09
2025-04-13,TikTok Ads,106.94
2025-04-13,Email,30.48
2025-04-14,Google Ads,288.24
2025-04-14,Meta Ads,168.89
2025-04-14,TikTok Ads,72.88
2025-04-14,Email,34.7
2025-04-15,Google Ads,275.64
2025-04-15,Meta Ads,181.88
2025-04-15,TikTok Ads,94.68
2025-04-15,Email,39.22
2025-04-16,Google Ads,266.65
2025-04-16,Meta Ads,155.44
2025-04-16,TikTok Ads,79.71
2025-04-16,Email,37.51
2025-04-17,Google Ads,278.79
2025-04-17,Meta Ads,198.79
2025-04-17,TikTok Ads,98.4
2025-04-17,Email,41.68
2025-04-18,Google Ads,253.48
2025-04-18,Meta Ads,173.34
2025-04-18,TikTok Ads,76.03
2025-04-18,Email,33.52
2025-04-19,Google Ads,288.77
2025-04-19,Meta Ads,171.32
2025-04-19,TikTok Ads,86.52
2025-04-19,Email,30.3
2025-04-20,Google Ads,219.72
2025-04-20,Meta Ads,144.97
2025-04-20,TikTok Ads,82.74
2025-04-20,Email,35.68
2025-04-21,Google Ads,280.63
2025-04-21,Meta Ads,177.99
2025-04-21,TikTok Ads,83.25
2025-04-21,Email,31.7
2025-04-22,Google Ads,257.12
2025-04-22,Meta Ads,186.01
2025-04-22,TikTok Ads,89.82
2025-04-22,Email,39.47
2025-04-23,Google Ads,296.96
2025-04-23,Meta Ads,168.3
2025-04-23,TikTok Ads,92.14
2025-04-23,Email,41.11
2025-04-24,Google Ads,222.07
2025-04-24,Meta Ads,173.11
2025-04-24,TikTok Ads,98.48
2025-04-24,Email,30.92
2025-04-25,Google Ads,262.34
2025-04-25,Meta Ads,158.53
2025-04-25,TikTok Ads,76.94
2025-04-25,Email,29.2
2025-04-26,Google Ads,225.67
2025-04-26,Meta Ads,186.97
2025-04-26,TikTok Ads,79.79
2025-04-26,Email,35.49
2025-04-27,Google Ads,259.54
2025-04-27,Meta Ads,193.16
2025-04-27,TikTok Ads,94.56
2025-04-27,Email,29.25
2025-04-28,Google Ads,216.49
2025-04-28,Meta Ads,162.24
2025-04-28,TikTok Ads,107.49
2025-04-28,Email,35.68
2025-04-29,Google Ads,204.98
2025-04-29,Meta Ads,150.22
2025-04-29,TikTok Ads,98.69
2025-04-29,Email,31.97
2025-04-30,Google Ads,299.64
2025-04-30,Meta Ads,188.47
2025-04-30,TikTok Ads,75.51
2025-04-30,Email,40.03
2025-05-01,Google Ads,293.83
2025-05-01,Meta Ads,168.86
2025-05-01,TikTok Ads,106.06
2025-05-01,Email,41.98
2025-05-02,Google Ads,263.19
2025-05-02,Meta Ads,215.38
2025-05-02,TikTok Ads,83.52
2025-05-02,Email,30.67
2025-05-03,Google Ads,284.39
2025-05-03,Meta Ads,207.95
2025-05-03,TikTok Ads,84.46
2025-05-03,Email,30.02
2025-05-04,Google Ads,294.75
2025-05-04,Meta Ads,209.24
2025-05-04,TikTok Ads,102.69
2025-05-04,Email,39.8
2025-05-05,Google Ads,298.91
2025-05-05,Meta Ads,193.94
2025-05-05,TikTok Ads,102.24
2025-05-05,Email,38.72
2025-05-06,Google Ads,233.11
2025-05-06,Meta Ads,160.86
2025-05-06,TikTok Ads,90.22
2025-05-06,Email,35.78
2025-05-07,Google Ads,268.11
2025-05-07,Meta Ads,150.2
2025-05-07,TikTok Ads,92.35
2025-05-07,Email,38.72
2025-05-08,Google Ads,201.38
2025-05-08,Meta Ads,207.71
2025-05-08,TikTok Ads,74.49
2025-05-08,Email,38.4
2025-05-09,Google Ads,259.91
2025-05-09,Meta Ads,144.16
2025-05-09,TikTok Ads,76.81
2025-05-09,Email,33.28
2025-05-10,Google Ads,214.22
2025-05-10,Meta Ads,201.3
2025-05-10,TikTok Ads,101.31
2025-05-10,Email,39.17
2025-05-11,Google Ads,208.56
2025-05-11,Meta Ads,158.82
2025-05-11,TikTok Ads,97.67
2025-05-11,Email,36.47
2025-05-12,Google Ads,249.47
2025-05-12,Meta Ads,162.27
2025-05-12,TikTok Ads,84.2
2025-05-12,Email,41.74
2025-05-13,Google Ads,260.51
2025-05-13,Meta Ads,184.41
2025-05-13,TikTok Ads,73.67
2025-05-13,Email,40.92
2025-05-14,Google Ads,226.1
2025-05-14,Meta Ads,153.8
2025-05-14,TikTok Ads,75.09
2025-05-14,Email,29.92
2025-05-15,Google Ads,269.89
2025-05-15,Meta Ads,212.97
2025-05-15,TikTok Ads,86.44
2025-05-15,Email,30.06
2025-05-16,Google Ads,299.32
2025-05-16,Meta Ads,210.37
2025-05-16,TikTok Ads,91.38
2025-05-16,Email,39.76
2025-05-17,Google Ads,233.57
2025-05-17,Meta Ads,193.22
2025-05-17,TikTok Ads,75.99
2025-05-17,Email,30.86
2025-05-18,Google Ads,256.13
2025-05-18,Meta Ads,147.79
2025-05-18,TikTok Ads,105.4
2025-05-18,Email,36.92
2025-05-19,Google Ads,284.73
2025-05-19,Meta Ads,172.18
2025-05-19,TikTok Ads,93.81
2025-05-19,Email,39.37
2025-05-20,Google Ads,227.67
2025-05-20,Meta Ads,198.13
2025-05-20,TikTok Ads,80.41
2025-05-20,Email,39.64
2025-05-21,Google Ads,260.37
2025-05-21,Meta Ads,194.75
2025-05-21,TikTok Ads,107.87
2025-05-21,Email,31.83
2025-05-22,Google Ads,215.11
2025-05-22,Meta Ads,182.41
2025-05-22,TikTok Ads,100.36
2025-05-22,Email,41.41
2025-05-23,Google Ads,232.59
2025-05-23,Meta Ads,190.0
2025-05-23,TikTok Ads,86.85
2025-05-23,Email,36.85
2025-05-24,Google Ads,204.01
2025-05-24,Meta Ads,215.91
2025-05-24,TikTok Ads,79.88
2025-05-24,Email,28.59
2025-05-25,Google Ads,288.92
2025-05-25,Meta Ads,201.84
2025-05-25,TikTok Ads,76.97
2025-05-25,Email,34.6
2025-05-26,Google Ads,274.14
2025-05-26,Meta Ads,153.94
2025-05-26,TikTok Ads,83.83
2025-05-26,Email,29.97
2025-05-27,Google Ads,270.91
2025-05-27,Meta Ads,155.24
2025-05-27,TikTok Ads,89.78
2025-05-27,Email,35.51
2025-05-28,Google Ads,240.04
2025-05-28,Meta Ads,196.33
2025-05-28,TikTok Ads,105.46
2025-05-28,Email,40.41
2025-05-29,Google Ads,232.23
2025-05-29,Meta Ads,213.61
2025-05-29,TikTok Ads,106.69
2025-05-29,Email,34.47
2025-05-30,Google Ads,279.43
2025-05-30,Meta Ads,144.07
2025-05-30,TikTok Ads,75.07
2025-05-30,Email,41.82
2025-05-31,Google Ads,258.8
2025-05-31,Meta Ads,183.2
2025-05-31,TikTok Ads,92.1
2025-05-31,Email,32.65
2025-06-01,Google Ads,193.39
2025-06-01,Meta Ads,147.88
2025-06-01,TikTok Ads,91.47
2025-06-01,Email,29.76
2025-06-02,Google Ads,240.16
2025-06-02,Meta Ads,141.64
2025-06-02,TikTok Ads,83.44
2025-06-02,Email,32.06
2025-06-03,Google Ads,177.18
2025-06-03,Meta Ads,171.41
2025-06-03,TikTok Ads,86.42
2025-06-03,Email,29.86
2025-06-04,Google Ads,241.48
2025-06-04,Meta Ads,143.63
2025-06-04,TikTok Ads,75.54
2025-06-04,Email,30.86
2025-06-05,Google Ads,209.88
2025-06-05,Meta Ads,148.28
2025-06-05,TikTok Ads,76.85
2025-06-05,Email,33.93
2025-06-06,Google Ads,186.25
2025-06-06,Meta Ads,183.04
2025-06-06,TikTok Ads,76.22
2025-06-06,Email,29.22
2025-06-07,Google Ads,175.88
2025-06-07,Meta Ads,154.39
2025-06-07,TikTok Ads,79.53
2025-06-07,Email,30.23
2025-06-08,Google Ads,228.86
2025-06-08,Meta Ads,171.62
2025-06-08,TikTok Ads,73.03
2025-06-08,Email,28.21
2025-06-09,Google Ads,204.95
2025-06-09,Meta Ads,128.25
2025-06-09,TikTok Ads,71.13
2025-06-09,Email,27.54
2025-06-10,Google Ads,207.71
2025-06-10,Meta Ads,127.41
2025-06-10,TikTok Ads,75.78
2025-06-10,Email,35.3
2025-06-11,Google Ads,186.53
2025-06-11,Meta Ads,150.36
2025-06-11,TikTok Ads,70.38
2025-06-11,Email,23.92
2025-06-12,Google Ads,188.49
2025-06-12,Meta Ads,155.19
2025-06-12,TikTok Ads,77.04
2025-06-12,Email,25.64
2025-06-13,Google Ads,191.55
2025-06-13,Meta Ads,160.61
2025-06-13,TikTok Ads,88.51
2025-06-13,Email,31.65
2025-06-14,Google Ads,251.06
2025-06-14,Meta Ads,156.68
2025-06-14,TikTok Ads,62.32
2025-06-14,Email,24.38
2025-06-15,Google Ads,224.89
2025-06-15,Meta Ads,125.54
2025-06-15,TikTok Ads,66.18
2025-06-15,Email,33.85
2025-06-16,Google Ads,201.68
2025-06-16,Meta Ads,132.84
2025-06-16,TikTok Ads,86.43
2025-06-16,Email,24.97
2025-06-17,Google Ads,216.67
2025-06-17,Meta Ads,182.59
2025-06-17,TikTok Ads,81.96
2025-06-17,Email,27.4
2025-06-18,Google Ads,251.45
2025-06-18,Meta Ads,148.56
2025-06-18,TikTok Ads,69.07
2025-06-18,Email,24.06
2025-06-19,Google Ads,235.43
2025-06-19,Meta Ads,137.18
2025-06-19,TikTok Ads,73.11
2025-06-19,Email,26.24
2025-06-20,Google Ads,201.19
2025-06-20,Meta Ads,135.65
2025-06-20,TikTok Ads,80.1
2025-06-20,Email,34.02
2025-06-21,Google Ads,212.38
2025-06-21,Meta Ads,141.86
2025-06-21,TikTok Ads,80.27
2025-06-21,Email,27.83
2025-06-22,Google Ads,234.49
2025-06-22,Meta Ads,168.17
2025-06-22,TikTok Ads,71.05
2025-06-22,Email,24.45
2025-06-23,Google Ads,180.07
2025-06-23,Meta Ads,139.29
2025-06-23,TikTok Ads,74.15
2025-06-23,Email,25.32
2025-06-24,Google Ads,176.97
2025-06-24,Meta Ads,162.09
2025-06-24,TikTok Ads,68.07
2025-06-24,Email,34.76
2025-06-25,Google Ads,253.49
2025-06-25,Meta Ads,155.17
2025-06-25,TikTok Ads,72.94
2025-06-25,Email,35.31
2025-06-26,Google Ads,176.49
2025-06-26,Meta Ads,161.09
2025-06-26,TikTok Ads,73.46
2025-06-26,Email,27.31
2025-06-27,Google Ads,240.5
2025-06-27,Meta Ads,123.05
2025-06-27,TikTok Ads,71.01
2025-06-27,Email,23.94
2025-06-28,Google Ads,221.78
2025-06-28,Meta Ads,144.21
2025-06-28,TikTok Ads,82.99
2025-06-28,Email,30.84
2025-06-29,Google Ads,224.8
2025-06-29,Meta Ads,132.55
2025-06-29,TikTok Ads,64.25
2025-06-29,Email,25.51
2025-06-30,Google Ads,184.8
2025-06-30,Meta Ads,139.29
2025-06-30,TikTok Ads,86.42
2025-06-30,Email,28.04
2025-07-01,Google Ads,174.77
2025-07-01,Meta Ads,175.37
2025-07-01,TikTok Ads,69.84
2025-07-01,Email,24.3
2025-07-02,Google Ads,170.9
2025-07-02,Meta Ads,147.03
2025-07-02,TikTok Ads,64.89
2025-07-02,Email,29.45
2025-07-03,Google Ads,223.44
2025-07-03,Meta Ads,164.16
2025-07-03,TikTok Ads,68.75
2025-07-03,Email,35.36
2025-07-04,Google Ads,205.33
2025-07-04,Meta Ads,182.02
2025-07-04,TikTok Ads,91.5
2025-07-04,Email,30.39
2025-07-05,Google Ads,197.61
2025-07-05,Meta Ads,146.84
2025-07-05,TikTok Ads,65.42
2025-07-05,Email,25.0
2025-07-06,Google Ads,230.87
2025-07-06,Meta Ads,181.11
2025-07-06,TikTok Ads,68.43
2025-07-06,Email,32.69
2025-07-07,Google Ads,244.74
2025-07-07,Meta Ads,182.8
2025-07-07,TikTok Ads,90.99
2025-07-07,Email,33.29
2025-07-08,Google Ads,191.51
2025-07-08,Meta Ads,152.06
2025-07-08,TikTok Ads,61.9
2025-07-08,Email,24.61
2025-07-09,Google Ads,172.34
2025-07-09,Meta Ads,139.02
2025-07-09,TikTok Ads,66.42
2025-07-09,Email,26.76
2025-07-10,Google Ads,208.43
2025-07-10,Meta Ads,172.71
2025-07-10,TikTok Ads,65.91
2025-07-10,Email,24.8
2025-07-11,Google Ads,188.13
2025-07-11,Meta Ads,128.13
2025-07-11,TikTok Ads,77.32
2025-07-11,Email,34.08
2025-07-12,Google Ads,226.83
2025-07-12,Meta Ads,156.84
2025-07-12,TikTok Ads,80.55
2025-07-12,Email,35.51
2025-07-13,Google Ads,193.37
2025-07-13,Meta Ads,143.81
2025-07-13,TikTok Ads,71.35
2025-07-13,Email,30.21
2025-07-14,Google Ads,211.16
2025-07-14,Meta Ads,162.06
2025-07-14,TikTok Ads,87.44
2025-07-14,Email,28.19
2025-07-15,Google Ads,176.2
2025-07-15,Meta Ads,123.94
2025-07-15,TikTok Ads,68.67
2025-07-15,Email,23.81
2025-07-16,Google Ads,208.16
2025-07-16,Meta Ads,145.86
2025-07-16,TikTok Ads,83.57
2025-07-16,Email,31.43
2025-07-17,Google Ads,200.83
2025-07-17,Meta Ads,131.45
2025-07-17,TikTok Ads,82.24
2025-07-17,Email,27.6
2025-07-18,Google Ads,195.6
2025-07-18,Meta Ads,133.52
2025-07-18,TikTok Ads,64.45
2025-07-18,Email,25.61
2025-07-19,Google Ads,245.55
2025-07-19,Meta Ads,131.89
2025-07-19,TikTok Ads,61.68
2025-07-19,Email,30.06
2025-07-20,Google Ads,236.25
2025-07-20,Meta Ads,144.43
2025-07-20,TikTok Ads,90.31
2025-07-20,Email,29.53
2025-07-21,Google Ads,221.63
2025-07-21,Meta Ads,180.59
2025-07-21,TikTok Ads,87.92
2025-07-21,Email,32.02
2025-07-22,Google Ads,221.38
2025-07-22,Meta Ads,157.66
2025-07-22,TikTok Ads,65.9
2025-07-22,Email,28.73
2025-07-23,Google Ads,221.25
2025-07-23,Meta Ads,122.8
2025-07-23,TikTok Ads,75.09
2025-07-23,Email,32.5
2025-07-24,Google Ads,208.53
2025-07-24,Meta Ads,135.24
2025-07-24,TikTok Ads,73.97
2025-07-24,Email,35.27
2025-07-25,Google Ads,249.11
2025-07-25,Meta Ads,124.75
